Time(s),Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular Momentum X (dps),Angular Momentum Y (dps),Angular Momentum Z (dps)
0.021384,0.013428,1.000488,-0.114868,0.000000,-0.396729,-0.766754
0.021532,0.014526,1.002075,-0.117310,-1.956940,-0.789642,-0.766754
0.021678,0.017090,1.001465,-0.115723,-1.564026,-0.396729,1.907349
0.021825,0.014160,0.997192,-0.115356,3.520966,-0.789642,-2.674103
0.021972,0.020508,0.992798,-0.115234,-1.564026,1.182556,0.000000
0.022119,0.027100,0.995117,-0.116333,1.174927,0.392914,-2.292633
0.022266,0.016724,1.001465,-0.119385,-0.392914,1.968384,2.670288
0.022461,0.017334,0.999512,-0.117310,0.392914,-3.551483,-2.292633
0.022559,0.014771,0.995239,-0.114746,-0.392914,1.182556,0.762939
0.022711,0.013184,0.996582,-0.119385,-1.174927,0.000000,-0.385284
0.022858,0.017456,1.000122,-0.122192,1.174927,-1.972198,-0.385284
0.023005,0.017456,1.004517,-0.124512,-2.349854,1.968384,-0.766754
0.023152,0.016113,1.003540,-0.129883,3.131866,-1.972198,-1.911163
0.023299,0.019287,0.998047,-0.123779,-0.782013,3.150940,1.144409
0.023446,0.007812,1.002686,-0.118286,0.782013,-2.368927,-0.766754
0.023592,0.009644,0.998657,-0.119629,0.000000,-1.579285,-1.148224
0.023739,0.014282,0.996338,-0.119263,-1.174927,0.785828,1.144409
0.023887,0.020752,0.998413,-0.121582,-1.564026,1.182556,-0.385284
0.024033,0.019531,0.991089,-0.121948,1.564026,-1.972198,-1.148224
0.024180,0.016357,0.992065,-0.122925,1.174927,1.182556,-1.148224
0.024327,0.017456,0.996094,-0.119263,-1.564026,1.575470,1.144409
0.024474,0.010132,0.999512,-0.116699,-0.392914,-2.368927,-1.148224
0.024621,0.013184,0.999023,-0.119629,3.131866,0.392914,-1.911163
0.024768,0.012329,1.000732,-0.118530,-3.520966,1.575470,3.051758
0.024915,0.022095,1.002808,-0.119507,3.131866,-4.337311,-3.818512
0.025062,0.017822,0.998657,-0.117920,-3.131866,3.547668,3.433228
0.025209,0.013550,1.000610,-0.120117,2.738953,-2.368927,-3.437042
0.025356,0.021851,1.001099,-0.120850,0.000000,1.182556,-0.766754
0.025503,0.017578,0.996338,-0.119507,-1.956940,1.575470,1.525879
0.025650,0.015869,0.989624,-0.117310,1.956940,-1.186371,-1.911163
0.025797,0.013306,0.992310,-0.117554,0.000000,-0.789642,1.525879
0.025944,0.011719,0.999512,-0.121704,-0.392914,0.000000,-1.911163
0.026091,0.012451,0.997925,-0.120850,-0.392914,-1.186371,0.000000
0.026238,0.020142,0.997681,-0.117676,0.782013,0.000000,-1.911163
0.026386,0.016235,0.998535,-0.115234,-0.782013,0.785828,0.381470
0.026532,0.012207,1.000977,-0.117065,0.000000,0.392914,-0.766754
0.026678,0.011475,0.997681,-0.120850,0.782013,-1.186371,0.000000
0.026825,0.006836,0.997437,-0.121582,0.392914,1.968384,-2.292633
0.026972,0.006226,0.994385,-0.116699,-0.782013,-3.154755,1.525879
0.027119,0.009277,0.996582,-0.113647,0.782013,1.182556,0.381470
0.027266,0.017334,1.005737,-0.116699,-1.564026,0.392914,0.381470
0.027413,0.018555,0.998657,-0.118774,2.738953,-0.789642,-2.292633
0.027560,0.012451,0.997559,-0.118896,-1.564026,1.575470,0.000000
0.027707,0.002930,1.004639,-0.119629,1.174927,-2.761841,-1.911163
0.027854,0.012695,1.003418,-0.119629,-1.564026,2.365112,1.525879
0.028002,0.020630,1.003418,-0.119263,-1.174927,0.000000,-0.385284
0.028148,0.018555,1.001221,-0.121948,1.174927,-0.789642,0.000000
0.028295,0.015381,0.995483,-0.122803,0.782013,-2.761841,-1.148224
0.028442,0.017456,0.994263,-0.125977,-1.564026,1.575470,0.381470
0.028589,0.020020,0.996216,-0.126709,0.782013,0.000000,-1.148224
0.028735,0.015625,1.001343,-0.121460,0.782013,0.785828,-0.385284
0.028883,0.020630,1.003540,-0.118164,-0.782013,-0.396729,-0.385284
0.029029,0.015015,0.993774,-0.117188,0.392914,-0.789642,-0.766754
0.029176,0.015259,0.988403,-0.116943,-1.956940,0.392914,1.907349
0.029323,0.014038,0.987549,-0.118042,2.349854,-1.972198,-2.674103
0.029470,0.010620,0.996704,-0.116089,-0.782013,-0.396729,0.000000
0.029617,0.012573,1.001343,-0.116333,-1.174927,0.785828,1.144409
0.029764,0.009521,0.997925,-0.123291,1.564026,0.392914,-1.529694
